UUID,Subject,Class,Teacher
e98e9766-84cd-46e1-b89f-9c097b7e0b04,c046ff62-7965-45da-819c-f0afe0d94fd2,3d386197-f64c-4224-b49b-6b86f8e60790,e766645a-386a-410e-a048-520ad40543a4
65024a63-566f-481a-9e08-ce1cbbd78bd1,c046ff62-7965-45da-819c-f0afe0d94fd2,4af3d3c6-6374-455e-9b88-f7ccbabe0caa,e766645a-386a-410e-a048-520ad40543a4
bfcdd42c-3307-4a9c-9b00-cad407407f33,69b42b52-2b61-4198-83ae-5bde563bbe8f,188712d1-fd0c-4158-bdeb-7a7bbc40dfe4,e766645a-386a-410e-a048-520ad40543a4
1e222346-3eff-44ee-8e4b-1cf746a81c54,69b42b52-2b61-4198-83ae-5bde563bbe8f,3e39ae18-c272-44e5-b312-dae852a908b1,e766645a-386a-410e-a048-520ad40543a4
354eff2b-cd9f-4712-bed4-1973b87ae28d,767cad33-7f66-47ed-b988-2a5b4a6d215c,62de9512-3f26-43e2-96bb-73d53aa15e46,e766645a-386a-410e-a048-520ad40543a4
9eb8c322-68a2-4b1f-84ef-2e84b1f2c8cf,69b42b52-2b61-4198-83ae-5bde563bbe8f,d294b058-e77b-4ea7-81e6-30792b05d129,e766645a-386a-410e-a048-520ad40543a4
987886e0-7394-4cdb-8cc6-a91410182de9,767cad33-7f66-47ed-b988-2a5b4a6d215c,1e710cb1-94c5-4c0a-aa31-5817d889202e,e766645a-386a-410e-a048-520ad40543a4
723f9306-ad6f-41d4-81ce-f430cdc1041f,c046ff62-7965-45da-819c-f0afe0d94fd2,4d99090b-24d4-4473-82c4-c25252816a84,e766645a-386a-410e-a048-520ad40543a4
658f9e05-a408-417c-9ce8-fbe3a1b345e9,767cad33-7f66-47ed-b988-2a5b4a6d215c,62de9512-3f26-43e2-96bb-73d53aa15e46,e766645a-386a-410e-a048-520ad40543a4
7ffe90c1-0e9b-4538-a3ca-5ae989339a92,767cad33-7f66-47ed-b988-2a5b4a6d215c,45b78958-78e7-4a7a-8402-043f9c377000,e766645a-386a-410e-a048-520ad40543a4
83d23597-0bb3-46fa-a0bf-95e62488dda7,530bbcdd-4e9f-439e-b077-af9680d3a084,f42fc6ed-d6d1-4748-89ce-2e895988a9f4,4ade2587-009a-443f-8f8a-11c766e4f948
02921381-6239-4860-b956-482a15dd941f,4b8228ad-6a99-41df-9997-68e52156d8b7,1db1edc4-a44d-491d-8df1-f75c40a983c2,4ade2587-009a-443f-8f8a-11c766e4f948
