UUID,Subject,Student,Point
4b0d44ea-7ea4-463b-b200-c97a948ff77a,69b42b52-2b61-4198-83ae-5bde563bbe8f,8ae3559a-8fd1-4bdb-b3db-07682d7d5b10,6.2
5f884158-29cd-483f-876f-320cb3f08e9a,69b42b52-2b61-4198-83ae-5bde563bbe8f,9e7fa4e7-3d57-4be7-9701-a142c14f91f1,4.1
175ebf10-93aa-4afb-a42b-088c2ff3b7ea,69b42b52-2b61-4198-83ae-5bde563bbe8f,084adf70-ba2a-450d-8166-e6c5d672174a,2.2
922ad943-9536-4b03-9749-8cd73193b0c9,69b42b52-2b61-4198-83ae-5bde563bbe8f,9173f741-c539-4ae4-b1e9-73e231438684,2.6
b7e0b43a-9995-4308-8a74-d2a6ae727b25,69b42b52-2b61-4198-83ae-5bde563bbe8f,ff33c26d-c26e-4f93-8b53-8b1fbd035d5a,7.4
b9137677-0edd-43c0-9004-85822a85ecda,69b42b52-2b61-4198-83ae-5bde563bbe8f,be1a192a-1463-4845-b69a-786b5aa6940b,8.2
21a2f939-6bbf-4a6a-91c9-eb244a1fc91c,69b42b52-2b61-4198-83ae-5bde563bbe8f,115efa1d-5c8c-4a87-b64b-67442b255630,9.4
1b9f9822-43ea-4aeb-99df-7e359c4e2be9,69b42b52-2b61-4198-83ae-5bde563bbe8f,9cbb1fd1-6106-426d-9cae-6eaacbe3a71b,3.6
2bc3b0eb-c7b9-4fae-9a51-da8a77665fa1,69b42b52-2b61-4198-83ae-5bde563bbe8f,57ad631f-2507-4425-a791-68867db91d8a,5
237d2c61-bfee-4122-b36e-a402888ed0f5,69b42b52-2b61-4198-83ae-5bde563bbe8f,807e54ab-5d56-4f64-ba87-12512634955f,5.7
0dae22c3-9580-4f2f-ae03-806b4c5f9304,69b42b52-2b61-4198-83ae-5bde563bbe8f,e2cd9a19-ae12-41de-89b7-586559093d59,9.3
5209edd1-948a-4213-99f9-d15c8cb67608,69b42b52-2b61-4198-83ae-5bde563bbe8f,d65b91bb-0000-477c-affa-231d64d08a89,2.1
5e2855c4-0740-43b7-a4ca-6ca15aaede80,69b42b52-2b61-4198-83ae-5bde563bbe8f,146ab62a-8a6e-437d-91e2-0ec80f063920,9.9
a8f6139f-93a3-45bb-90b6-63ce3b74c6dd,69b42b52-2b61-4198-83ae-5bde563bbe8f,b4f4c919-f795-445b-9479-ef52b22de9cb,4.5
440ac607-7b4c-4f39-b20b-3338ed5627bb,69b42b52-2b61-4198-83ae-5bde563bbe8f,ab9fb25b-0cc9-4492-9bed-ad0af1595468,4.2
40319105-d20e-4edf-a35b-fb8f2794bd3a,69b42b52-2b61-4198-83ae-5bde563bbe8f,4fda9694-9f35-4f39-b170-3d95d3cd0dea,8
14c8dcff-6166-436a-ad22-f057e9b02155,69b42b52-2b61-4198-83ae-5bde563bbe8f,4b51744a-f6ca-4c62-a7a7-0dcec2120021,9
075d5486-be9c-449b-a3bc-77ef6ad8d359,69b42b52-2b61-4198-83ae-5bde563bbe8f,2127c593-7004-48b9-bc05-b80fa7029de1,7.7
dd2a704c-eea7-46e1-951e-9cf6e4be2762,69b42b52-2b61-4198-83ae-5bde563bbe8f,4ee28cb5-c773-4a8a-9782-77a5ba8b4e77,8.1
4e46bacb-3ac3-477a-84ef-40cd17efaa5c,69b42b52-2b61-4198-83ae-5bde563bbe8f,36c4d85a-1ec3-422a-8087-ca6d574769cd,2.2
d65d2134-32c2-4ea1-8ad9-c40a44fbe4dc,69b42b52-2b61-4198-83ae-5bde563bbe8f,d24f37ee-f00e-4c74-ae8e-5dc2a9f98277,4.3
f5add4ba-63fd-420c-9c67-51e237806d38,69b42b52-2b61-4198-83ae-5bde563bbe8f,33fdbcb0-5c18-4db5-8d6c-2ae0f0109b7f,2.4
7d41adf2-d112-444d-9017-b22383f4a72f,69b42b52-2b61-4198-83ae-5bde563bbe8f,5e54d6f0-c0dc-41c3-b5a2-215b69017d6f,9.6
a4678a8d-d217-4b4c-9fde-1dc72ca9d1a6,69b42b52-2b61-4198-83ae-5bde563bbe8f,105bdf78-98e7-4447-a84f-9c373ea3cd9e,6.8
a66dd180-52e5-4afc-a2b3-c1628211394b,69b42b52-2b61-4198-83ae-5bde563bbe8f,459ce3ba-7a86-42f7-948c-0e2e0a77de86,2.2
54d3d721-6ea9-4f22-b5cc-c40edba9603b,69b42b52-2b61-4198-83ae-5bde563bbe8f,fb603738-0579-41ea-bf01-08ecc86f9fca,8
388f87b5-690f-4cc7-942c-e5a3a156a50f,69b42b52-2b61-4198-83ae-5bde563bbe8f,240a1cb8-3208-4f65-9ecf-2b8dc6fcd610,5.5
ef2af2c9-a2b7-4fe6-9d63-bc0ace1cdfa5,69b42b52-2b61-4198-83ae-5bde563bbe8f,7853ca23-cfd8-4afd-a42c-49d5b06092d9,5.7
6763f94f-2ce7-4ff3-bada-b4547bdade08,69b42b52-2b61-4198-83ae-5bde563bbe8f,e5147b0e-3519-4ca4-8a29-bbf9843941ef,8.8
349c8678-0edd-4ed7-be86-12ccc4d48a32,69b42b52-2b61-4198-83ae-5bde563bbe8f,1c744ca3-a28c-42a3-8759-977f760e697d,9.9
1fc31a1c-b6c1-4861-b60f-d6a2cb0d051e,69b42b52-2b61-4198-83ae-5bde563bbe8f,102dd5d9-464c-48a0-9852-a7486d3ec832,4.1
bb7c2c53-2cb8-4750-a3f0-73d6a478a2cf,69b42b52-2b61-4198-83ae-5bde563bbe8f,87a6fe22-4097-4114-9069-ad6d01c7ce19,7.1
42bd0d17-1086-494b-a442-2a3648903041,69b42b52-2b61-4198-83ae-5bde563bbe8f,6d6e9a69-184b-4b6d-8fff-84ce631be755,4.9
88f95c12-6cbf-4f9a-8a84-9ece65851a55,69b42b52-2b61-4198-83ae-5bde563bbe8f,ec33f72a-3c97-467e-97a2-b3d78bf7a142,2.2
c58468a6-2dca-4776-9d0c-3f46b303f9f5,69b42b52-2b61-4198-83ae-5bde563bbe8f,fb43e486-e58f-4054-ad24-7601a19dfe08,2.2
cf142830-f894-4fbe-b531-00201858511a,69b42b52-2b61-4198-83ae-5bde563bbe8f,39f7c47d-95a9-4568-bc3a-54a1a58f9c62,9.7
f0b4a12d-287d-4fef-a8df-f5318ab18705,69b42b52-2b61-4198-83ae-5bde563bbe8f,9e42b9c6-803f-4ef6-802a-3ae048be9624,7
599f1a7e-bc70-45ec-928c-72e764909f0a,69b42b52-2b61-4198-83ae-5bde563bbe8f,078a009a-ec8d-4fbc-bd4a-7f33a27bd51e,3.9
8dbeac95-daa0-4b7a-a70d-fd0de0e18d73,69b42b52-2b61-4198-83ae-5bde563bbe8f,3ce314ef-0605-423f-98a9-47b624464348,2
19e76171-966b-4a76-8f9f-c544ce3a7218,69b42b52-2b61-4198-83ae-5bde563bbe8f,1bd5c666-73b5-4d61-9d71-0253f481e466,2.5
c232af92-cc5e-45af-a436-a6198526abfc,69b42b52-2b61-4198-83ae-5bde563bbe8f,7cc57a20-1c9c-45a4-80d0-29a49a02ec98,9.6
47bb4da5-8950-4810-ba88-5eb85b20b1da,69b42b52-2b61-4198-83ae-5bde563bbe8f,5d4f52c3-18e7-4042-bcc0-0bcc8a7cfaab,8.7
18774366-fdba-468a-ac24-42eec3d50d15,69b42b52-2b61-4198-83ae-5bde563bbe8f,6c4b479c-e64e-44f5-8ef1-b09ce70f8f4d,8.3
2895616f-6037-4328-884c-0a8ff47f41f5,69b42b52-2b61-4198-83ae-5bde563bbe8f,9eb42794-6559-452e-b25e-02b7a1ab30fe,5.7
c2b4a312-17a2-424f-950a-c7048b8ec91d,69b42b52-2b61-4198-83ae-5bde563bbe8f,3e58cc53-c56a-4171-acb3-ace16dea8c54,2.1
0b967472-0b9b-4491-a3de-c780ca69cbb6,69b42b52-2b61-4198-83ae-5bde563bbe8f,18d40ac6-4703-416d-a116-b942c1fe0710,8.8
30b337af-e3c4-41be-8eeb-f02fc0c85493,69b42b52-2b61-4198-83ae-5bde563bbe8f,b8992013-787f-4713-91af-88b20e993cf4,5.9
55714a62-ebaf-4953-8b7e-0cecbe1b13f4,69b42b52-2b61-4198-83ae-5bde563bbe8f,6e621098-33f9-4a6f-8f87-86b1311ae399,8.6
ce6fd162-4b29-436a-bd10-cd1feb81a26d,69b42b52-2b61-4198-83ae-5bde563bbe8f,fa846416-b8a4-4049-9ab5-df4d2d3d3a78,8.4
6ea6f213-99c9-491b-85cd-6a4c2357bfa8,69b42b52-2b61-4198-83ae-5bde563bbe8f,27c905ee-8f16-46c8-b62a-d35add4c4f9d,4
486de261-5054-4c81-9814-0c454211bcef,69b42b52-2b61-4198-83ae-5bde563bbe8f,515e6d88-39a8-455d-b047-5be9d59f19c4,4.7
1c8f7048-c5ad-4d22-8e25-bd65b1c7921a,69b42b52-2b61-4198-83ae-5bde563bbe8f,f5237175-2d23-48b6-841b-6874d1aab570,3.5
535d903a-10f9-41c0-9eab-e87212bd303e,69b42b52-2b61-4198-83ae-5bde563bbe8f,17a1a08f-bbe3-464c-b79e-89207c3b078d,5.7
a4c883e8-6f89-468e-bd20-06d0c20080ea,69b42b52-2b61-4198-83ae-5bde563bbe8f,5180c90d-2b2a-468d-a590-4533cfa4c9df,6.5
6c7dbdad-962a-4ba3-9d67-5d934ad04e61,69b42b52-2b61-4198-83ae-5bde563bbe8f,350a8357-c536-4c20-98e4-c9e976b95fab,5.4
c36250c6-10c2-4086-9a8c-fefc22ac8c41,69b42b52-2b61-4198-83ae-5bde563bbe8f,3daaabbb-e8c4-4cb1-ad85-cfa46702e13a,3.5
fd7d30da-c1db-4448-b8ce-22187246d7b8,69b42b52-2b61-4198-83ae-5bde563bbe8f,691bde14-5cdf-4415-9ba4-aebef8f7933a,2.3
87a67176-b20a-4372-be14-7bceba9f5c4c,69b42b52-2b61-4198-83ae-5bde563bbe8f,1a97a0fa-9078-4da4-a574-a98992350d2e,3.2
d3a51f7a-2f38-4dc6-a29f-0fee7995f35e,69b42b52-2b61-4198-83ae-5bde563bbe8f,41af4744-0af9-4ac8-801b-ae31db28d206,8.3
f562c1b5-1523-40cb-bc32-6c3fc9ed9f03,69b42b52-2b61-4198-83ae-5bde563bbe8f,c1ec8bef-84a4-4464-8180-b2e450a7bfaf,7.2
35686230-7c01-468a-b460-29641165ab89,69b42b52-2b61-4198-83ae-5bde563bbe8f,2b42a8d9-1f36-4298-8b98-b1967db24e07,2.4
972cd684-7a14-4b00-b74a-594f72fb3792,69b42b52-2b61-4198-83ae-5bde563bbe8f,77e77a83-bfc3-4bb0-898c-ff74245d915d,3.4
9f6d3000-435d-4a17-9a6c-ef7e3bc01f31,69b42b52-2b61-4198-83ae-5bde563bbe8f,930c7035-0f2a-45ec-8668-941a90e86001,2.7
4b26c892-24e3-40db-8051-7f880ad87db6,69b42b52-2b61-4198-83ae-5bde563bbe8f,b9dc91ab-d891-4d5c-af61-be1df0a57eef,3
2d67e3c1-862f-4644-9822-fc6aebc4f772,69b42b52-2b61-4198-83ae-5bde563bbe8f,5409bfee-3d8f-4394-9603-683bf6e7db17,9.4
0855540e-8fa3-478b-8cfa-8a078ec3f4fd,69b42b52-2b61-4198-83ae-5bde563bbe8f,1ea15acf-d1d3-4dbe-b466-3b9ad56e7ae1,10
b7d6f5f7-a135-4d5b-bf30-c389cdde2d74,69b42b52-2b61-4198-83ae-5bde563bbe8f,d2e898c1-b5df-475a-9a00-7268ea8014ba,5.1
9e9c1557-ee1c-4a46-9cb7-340c57a71584,69b42b52-2b61-4198-83ae-5bde563bbe8f,98b843aa-ff30-4aa8-b653-a0ec86c82190,7.4
3944fcf6-2a42-4d48-9c12-ee354fbd5c19,69b42b52-2b61-4198-83ae-5bde563bbe8f,58a66e85-b0fd-43ff-a307-14658c144edc,2.1
dcf2707d-9685-4a4a-9480-58e46feae1a9,69b42b52-2b61-4198-83ae-5bde563bbe8f,84803ab9-cacb-4862-aa4e-aeb2494a6844,2.3
a6444f61-f315-4fdd-99a4-7fd76cff2fa6,69b42b52-2b61-4198-83ae-5bde563bbe8f,4bc92213-9432-4c00-bb4d-2c12a80442be,8.8
f6bd2b29-ead0-4e55-84a4-cf07e9c452c8,69b42b52-2b61-4198-83ae-5bde563bbe8f,313afc34-6695-4a5d-a5df-5749c836ae8b,4.8
728e9233-805f-4561-b50b-956aed828ef3,69b42b52-2b61-4198-83ae-5bde563bbe8f,4e85869d-ad58-49d3-93e0-f2d38e20b42d,5.5
9c9a5698-1a91-417a-8666-8903d6b674ef,69b42b52-2b61-4198-83ae-5bde563bbe8f,37c22219-1173-4bb5-8c77-e2e244d48664,5.4
e2707a03-eda4-45aa-a03a-0b37238a359a,69b42b52-2b61-4198-83ae-5bde563bbe8f,41d724cc-e37b-47a7-9d87-69516d5a4cb3,8.5
964d9866-ed5d-4320-a1db-95859d73d410,69b42b52-2b61-4198-83ae-5bde563bbe8f,15414161-16c1-49ec-958e-b929462e0972,3.5
2828ae21-0344-4f1c-ad88-38091067b0bb,69b42b52-2b61-4198-83ae-5bde563bbe8f,cf229ab6-0d10-4518-bf38-f19ef4e574ec,2
8f2edf97-2f8e-46b7-8799-3272e8971bc5,69b42b52-2b61-4198-83ae-5bde563bbe8f,a31130cd-df10-49b0-b473-b20e4638bf2b,3.7
8271158f-8feb-469a-b748-90d96fc7097a,69b42b52-2b61-4198-83ae-5bde563bbe8f,39870aab-c448-4ff2-9e34-126af3e32897,4.5
0bdacb30-430d-44fa-b517-22271b22437b,69b42b52-2b61-4198-83ae-5bde563bbe8f,072e4939-168f-46ac-b7e5-c7377d982156,9.3
f06073f0-5feb-4672-b282-be9dc8440258,69b42b52-2b61-4198-83ae-5bde563bbe8f,8ce8ad90-6bb4-4e2c-85c8-de472c5b18ab,9.9
3bfc0255-f460-4252-91fb-e298d331747f,69b42b52-2b61-4198-83ae-5bde563bbe8f,320d1021-6838-4e70-8345-04feb795a663,4.7
31699b8b-f5ab-4627-b0ad-3e70c88dc196,69b42b52-2b61-4198-83ae-5bde563bbe8f,6212adbb-81f5-446b-bd27-1652e29ebac2,5.1
187449ed-1d68-4c62-bacd-9bc75f83305f,69b42b52-2b61-4198-83ae-5bde563bbe8f,6bd227ee-fc72-455d-8931-d9a67bdb25a0,4.5
492b2554-ecf1-4186-a4b6-e443965568d3,69b42b52-2b61-4198-83ae-5bde563bbe8f,3e4e6047-5602-4612-a8cc-d764e0bc93be,4.9
0ce09f94-fb0e-4338-a6be-927ec47df30a,69b42b52-2b61-4198-83ae-5bde563bbe8f,f58a44ea-e598-4c71-8115-7fdcf7e65247,8.4
