UUID,Subject,Student,Point
4d7dfc16-dcfe-49ab-8ab7-758e92732385, 6a0c92bc-878e-45e2-84a2-22d41ed4ff07, bd98daf0-c89a-4112-afe9-712adb687c4d, 8.2
36c96889-28dc-4e8d-ac01-359ad01866fe, 6a0c92bc-878e-45e2-84a2-22d41ed4ff07, ff0e2751-8f2f-483b-8f0e-2893fedf7b76, 2.9
c0c7fb98-05e6-4937-b16e-855ada4123e6, 6a0c92bc-878e-45e2-84a2-22d41ed4ff07, 20ebd916-64ec-4d6c-a08f-e8571a58e5d6, 3.1
fcdc7dbe-e736-4a1e-a80c-a9b18e8fb45f, 6a0c92bc-878e-45e2-84a2-22d41ed4ff07, 849188bb-12ce-4200-b387-0be57ff14320, 3.9
84e773b0-bf14-4a94-93a4-7abdbe575fd0, 6a0c92bc-878e-45e2-84a2-22d41ed4ff07, c2c6c6bf-b8eb-4ccf-87cb-98bd2a8a83e5, 6.9
ab79fe0e-a348-47da-b56e-81ca352babd5, 6a0c92bc-878e-45e2-84a2-22d41ed4ff07, 804c1978-a4be-4b68-9dd5-d1e8899fda44, 4.7
af7331dc-2933-4288-8e26-cbdbb669b02f, 6a0c92bc-878e-45e2-84a2-22d41ed4ff07, 630eaf1d-2e25-45e3-9929-9dd1684c61be, 7.1
1d064635-3361-488b-aa7f-4b7c42bcb26c, 6a0c92bc-878e-45e2-84a2-22d41ed4ff07, 1f6dff0b-44e8-46cd-aef8-2f9292e2dd61, 3.8
36265aaf-9113-4893-9677-685b21ab7ff1, 6a0c92bc-878e-45e2-84a2-22d41ed4ff07, 9c20d501-df21-41db-9215-7a9951944cae, 2.5
28e4d15e-4488-4188-a669-8d441beabaf0, 6a0c92bc-878e-45e2-84a2-22d41ed4ff07, d769d6ab-c928-4e02-adfc-9723b2587900, 8.4
5a1e9e79-0975-452c-8396-a64ee94fbb15, 6a0c92bc-878e-45e2-84a2-22d41ed4ff07, 8d099c12-dbaa-43cf-b1a6-e259df158310, 6.9
9cacd62c-b5a6-478b-b165-dd8ba5c25078, 6a0c92bc-878e-45e2-84a2-22d41ed4ff07, 7f7bee5d-bb2a-45ed-8158-7cc8264b915a, 6.1
d09e139d-efa7-4570-956d-0184ec3dbbc3, 6a0c92bc-878e-45e2-84a2-22d41ed4ff07, ae4b87a8-916f-45f6-adaa-ae66924300a9, 5.3
7a6cc414-7a78-4677-acfe-0426afb1b3e0, 6a0c92bc-878e-45e2-84a2-22d41ed4ff07, 577738ad-280e-4eeb-b537-69a7fbb98bf7, 7.8
1f82e9ec-d589-4045-ba41-bb9a85fbfe7f, 6a0c92bc-878e-45e2-84a2-22d41ed4ff07, c04b5ebf-7e1a-40ee-8e93-d65a1307c902, 5.1
a68d8bde-3e8c-4329-8ced-830db8a3ce67, 6a0c92bc-878e-45e2-84a2-22d41ed4ff07, 76c3417b-a630-4e9c-895d-a891c16aee35, 9.5
9d833146-63ec-4186-8301-7cab43f25df5, 6a0c92bc-878e-45e2-84a2-22d41ed4ff07, 2953be8f-7fe2-4ab5-b346-b045613e9d09, 2.1
7376c9c3-3818-4ee0-9feb-5d1d01b0ef82, 6a0c92bc-878e-45e2-84a2-22d41ed4ff07, 99201df2-3bc0-457d-a485-52bbcaf448f6, 9.9
be80fec9-281f-41c5-bb74-151b0b873b5e, 6a0c92bc-878e-45e2-84a2-22d41ed4ff07, 4eefe471-7f6b-4012-b25f-6fd687bbf4ac, 10
a76f71e0-54e2-4bad-8380-b753c297495a, 6a0c92bc-878e-45e2-84a2-22d41ed4ff07, 70130c50-045b-41c7-9e04-3313697ddc52, 6.6
e898ed42-7c8d-4efb-b3bc-c3f679e267b6, 6a0c92bc-878e-45e2-84a2-22d41ed4ff07, 1e036edd-0d67-460d-8b44-ca1ce043cfda, 8.6
1e426787-74fe-40c1-a658-483be9129e0a, 6a0c92bc-878e-45e2-84a2-22d41ed4ff07, 0ee4c813-f0d2-4424-abc1-5ea8ea81c8eb, 4.9
658b4a67-0718-41bf-ad22-37ec5067a8a7, 6a0c92bc-878e-45e2-84a2-22d41ed4ff07, 1e75264e-24f6-46d9-b0b1-181ebf817335, 8.5
2ccd7e3b-5b9f-45d9-b2c9-2562f2447a6f, 6a0c92bc-878e-45e2-84a2-22d41ed4ff07, 7dc59a7b-09af-488e-aa40-dd01a6e48e78, 5.7
b57f5200-ffa9-411b-9031-46a8f578e846, 6a0c92bc-878e-45e2-84a2-22d41ed4ff07, e41d0450-2f8c-4365-9a78-21291bb3b3fc, 9.4
45a9d635-44f4-48fb-81c8-f6d3d9d11d8f, 6a0c92bc-878e-45e2-84a2-22d41ed4ff07, 8916911f-1a4d-4d10-ab84-f9a5d8d6f66a, 2.4
50d2eb3a-ba7e-4b72-8dd7-a62ab948e58d, 6a0c92bc-878e-45e2-84a2-22d41ed4ff07, 6211a79b-8b67-4110-af04-2572ff52bba7, 6.5
0310858f-91c2-46f0-bf35-5fd01026008f, 6a0c92bc-878e-45e2-84a2-22d41ed4ff07, d4453b58-2964-48a3-996a-950900ac0cb5, 8.9
94882aa5-b5b0-4f95-8d07-ee23a496f6b7, 6a0c92bc-878e-45e2-84a2-22d41ed4ff07, 3a20e01f-c5c4-48fc-8721-4a2b07d80697, 9.7
1c8a8e26-f6e2-489c-b984-519b14e8a246, 6a0c92bc-878e-45e2-84a2-22d41ed4ff07, 193ee63c-265c-4827-b17a-e3af130904c4, 3.1
356b7aa6-449f-4d25-a12e-4b70fa0e2f0f, 6a0c92bc-878e-45e2-84a2-22d41ed4ff07, c93222a9-958e-41f3-90ed-bec690480af8, 5.4
2cd51733-660b-4287-b513-b8bbcc247d31, 6a0c92bc-878e-45e2-84a2-22d41ed4ff07, 9f1c4d31-b22a-4233-95d5-ca35b5ddd5ad, 3.5
3bccd22b-c2d6-4bcd-9ccd-3d9f60e7576b, 6a0c92bc-878e-45e2-84a2-22d41ed4ff07, 1d61b850-6b74-4771-9e63-369065a0e69d, 8.4
18ff58ba-58a7-43c7-80e5-a8d851344259, 6a0c92bc-878e-45e2-84a2-22d41ed4ff07, 8d2da77d-a7ff-4a2d-a428-b66f9515d170, 6.7
95ff953d-0d18-4bcf-a6ce-1feac8c074f2, 6a0c92bc-878e-45e2-84a2-22d41ed4ff07, 5583f1c8-b999-47ea-ab26-7c7ba2440b13, 9.5
60553506-78c3-4ee0-8ae8-f697d29889de, 6a0c92bc-878e-45e2-84a2-22d41ed4ff07, b5065af3-e0ea-4a91-8561-5aa595c6d477, 6.8
8b6429d9-3575-4bda-bf3c-3bc34b5c1b0a, 6a0c92bc-878e-45e2-84a2-22d41ed4ff07, d4c8efb2-ace8-455d-bfe0-5f4b062747e9, 3.5
49ba6e0e-82c0-41d6-92fe-0bbfa22d81a7, 6a0c92bc-878e-45e2-84a2-22d41ed4ff07, de8b8979-9756-4d1b-8f7e-aba0f0421fc8, 4.9
ecf62b02-f717-4ad9-8d2e-f48b203079d8, 6a0c92bc-878e-45e2-84a2-22d41ed4ff07, 5cb67da5-261f-4758-9d6b-fdecf5da7841, 6.6
62d25f5e-fcdb-4fc4-8968-0aba8288f5de, 6a0c92bc-878e-45e2-84a2-22d41ed4ff07, 0d603e65-480f-4d51-8856-b9081d7dab23, 2.7
5f0c506b-f492-45f1-9060-b70dca4004a1, 6a0c92bc-878e-45e2-84a2-22d41ed4ff07, 7780b036-ed36-481d-99ea-1f93f0fa3fae, 8.3
72897b77-b0f8-437c-8e1d-3bad7c421730, 6a0c92bc-878e-45e2-84a2-22d41ed4ff07, 6096a0ab-434f-4f01-b89c-1ea73c378dea, 4.2
f1c3a1da-5a76-43c1-a518-b59865f19c52, 6a0c92bc-878e-45e2-84a2-22d41ed4ff07, 289dc34b-73f8-442d-8623-efb82fcc6c6c, 6.3
2560e2ba-662a-491e-ab9a-01d49e397f1a, 6a0c92bc-878e-45e2-84a2-22d41ed4ff07, 722948a3-a8c4-4a21-a8e4-cd14ff8ab9d2, 9.6
bcf2ebb0-a7d4-4f8e-beab-d4f35503b478, 6a0c92bc-878e-45e2-84a2-22d41ed4ff07, c2c7538a-71a5-47b2-8eb7-0521ccbef37b, 7.1
9c60fb58-fcd2-4a76-a3b4-c54e5a8ca6b1, 6a0c92bc-878e-45e2-84a2-22d41ed4ff07, 26ca8534-35e5-47cb-b9fb-cda275c185cf, 7.3
