SubjectUUID, StudentUUID, Grade
132105f3-a5c0-4ffb-a8d2-7da4ba68631c, 3bbd5986-3734-4b5e-ba51-a178ee8ed697, 8.4
132105f3-a5c0-4ffb-a8d2-7da4ba68631c, aa03ed84-c79c-4ca3-b7b8-78349a75906c, 5.5
132105f3-a5c0-4ffb-a8d2-7da4ba68631c, 6f381805-82ac-4cc5-86b4-6c9339743b96, 7.7
132105f3-a5c0-4ffb-a8d2-7da4ba68631c, eec505a8-2d09-414e-a723-7a0795815612, 2.2
132105f3-a5c0-4ffb-a8d2-7da4ba68631c, 06482398-92ee-4234-b93e-f729f839c00f, 6.3
132105f3-a5c0-4ffb-a8d2-7da4ba68631c, 0d9abe4b-1403-4b1a-bd4b-6c0f7c2b47f5, 8.8
132105f3-a5c0-4ffb-a8d2-7da4ba68631c, bd989da7-79ce-474b-97d1-649fe67ac216, 9.7
132105f3-a5c0-4ffb-a8d2-7da4ba68631c, 58096390-b184-48dd-8305-56e3c192d59f, 5.6
132105f3-a5c0-4ffb-a8d2-7da4ba68631c, 28267fca-c24d-4d19-ae44-ddaecf43a4e1, 4.8
132105f3-a5c0-4ffb-a8d2-7da4ba68631c, a9474cb8-8974-4134-ae61-5fd473d2ba89, 7.2
132105f3-a5c0-4ffb-a8d2-7da4ba68631c, 898e5308-aa3d-4abf-a39c-7c08c7ed0ddf, 2.6
132105f3-a5c0-4ffb-a8d2-7da4ba68631c, a406c1c9-481c-4ba2-8f2b-fc312711e783, 5.8
132105f3-a5c0-4ffb-a8d2-7da4ba68631c, 3e397b3b-72ef-4004-8ea4-dd69181c0db1, 7.5
132105f3-a5c0-4ffb-a8d2-7da4ba68631c, 81f0f74c-e436-47bc-a989-20e14a47fd9a, 5.6
132105f3-a5c0-4ffb-a8d2-7da4ba68631c, 5a3d9301-5018-40e1-b608-0f883fa4e4cf, 6.6
132105f3-a5c0-4ffb-a8d2-7da4ba68631c, ad8705a1-2b67-4f33-8ba1-4fff4632602a, 5.7
132105f3-a5c0-4ffb-a8d2-7da4ba68631c, a2642dce-8bf5-4f4f-8793-9e2df9b5a340, 9
132105f3-a5c0-4ffb-a8d2-7da4ba68631c, 8f1b68cf-fce1-41ce-b81c-ab0ce5d9189c, 2.2
132105f3-a5c0-4ffb-a8d2-7da4ba68631c, fff78523-b90f-41af-b193-acec82395adf, 10
132105f3-a5c0-4ffb-a8d2-7da4ba68631c, 1e918ab4-0add-4ca3-8ec8-cf53fbffd1b8, 6.9
132105f3-a5c0-4ffb-a8d2-7da4ba68631c, ceedde22-7136-46eb-8ba8-7ff3f694db8a, 6.9
